customer_id,customer_name,signup_date,governorate,customer_segment,age
CUST-00478,Mohamed Fahmy,09/25/2022,Minya,Consumer,39
CUST-00471,Ali Gouda,2022-04-17,Minya,Consumer,39
CUST-00220,Nour Mahmoud,2024-07-18,Beheira,Corporate,54
CUST-00116,Ali Adel,02/09/2022,Giza,Small Business,30
CUST-00428,Khaled Mahmoud,08/01/2024,Giza,Corporate,44
CUST-00023,Mariam Hassan,03/08/2023,Ismailia,Corporate,21
CUST-00412,Nesma Rashad,2023-06-08,Giza,,54
CUST-00369,Mariam Farouk,20-Dec-2023,Ismailia,Consumer,27
CUST-00330,Tarek Khalil,15/02/2022,sharqia,Corporate,61
CUST-00660,Rana Gouda,2022-08-06,Faiyum,Corporate,34
CUST-00731,Laila Ali,12/17/2023,Qalyubia,Small Business,62
CUST-00018,Sara Rashad,19/09/2022,Gharbia,Small Business,36
CUST-00192,Karim Farouk,25-Sep-2024,Cairo,Small Business,39
CUST-00268,Nada Khalil,10/09/2023,Cairo,Consumer,30
CUST-00593,Dina Ali,2022-09-18,Dakahlia,Consumer,25
CUST-00717,Aya Rashad,29-Nov-2023,Alexandria,Corporate,19
CUST-00470,Rana Gouda,02/03/2022,Cairo,Small Business,57
CUST-00716,Sara Rashad,16-Sep-2024,Giza,Small Business,33
CUST-00791,Khaled Khalil,2022-12-13,Minya,Corporate,21
CUST-00049,Sara Kamal,23-Apr-2022,Gharbia,Consumer,26
CUST-00477,Ali Kamal,04/08/2023,Cairo,Consumer,36
CUST-00713,Hossam Rashad,10-Aug-2024,Alexandria,Consumer,34
CUST-00374,Ahmed Ibrahim,01/19/2024,Aswan,Corporate,60
CUST-00302,Heba Aziz,08/05/2024,cairo,Corporate,57
CUST-00512,Mohamed Kamal,17-Jul-2022,Ismailia,Consumer,21
CUST-00289,Sara Sabry,2022-10-01,Port Said,Consumer,41
CUST-00766,Nour Shawky,02-Jul-2023,Cairo,Small Business,48
CUST-00678,Tarek Farouk,2023-10-07,Qalyubia,Corporate,27
CUST-00132,Heba Hassan,2023-09-22,Giza,Corporate,44
CUST-00153,Nada Gouda,03/02/2022,Sharqia,Corporate,46
CUST-00687,Youssef Adel,31/05/2023,Beheira,Consumer,48
