customer_id,customer_name,governorate,customer_segment,Age,signup date
CUST-00192,Karim Farouk,Cairo,Small Business,39,25-09-24
CUST-00268,Nada Khalil,Cairo,Consumer,30,09-10-23
CUST-00470,Rana Gouda,Cairo,Small Business,57,03-02-22
CUST-00477,Ali Kamal,Cairo,Consumer,36,08-04-23
CUST-00302,Heba Aziz,Cairo,Corporate,57,05-08-24
CUST-00766,Nour Shawky,Cairo,Small Business,48,02-07-23
CUST-00794,Farida Rashad,Cairo,Corporate,42,21-01-24
CUST-00306,Mahmoud Ibrahim,Cairo,Corporate,58,02-10-22
CUST-00214,Sara Shawky,Cairo,Unknown,35,08-08-22
CUST-00125,Aya Farouk,Cairo,Small Business,62,21-05-22
CUST-00007,Laila Hassan,Cairo,Corporate,27,10-01-24
CUST-00509,Khaled Fathy,Cairo,Small Business,65,29-03-23
CUST-00677,Dina Hassan,Cairo,Corporate,55,07-09-22
CUST-00120,Amr Younes,Cairo,Consumer,28,21-05-24
CUST-00469,Yasmin Nabil,Cairo,Consumer,62,11-05-22
CUST-00704,Sara Aziz,Cairo,Consumer,64,15-01-23
CUST-00127,Sara Fathy,Cairo,Corporate,56,05-05-24
CUST-00108,Nada Fahmy,Cairo,Corporate,65,12-04-24
CUST-00440,Adham Ali,Cairo,Unknown,25,19-04-23
CUST-00552,Mohamed Gouda,Cairo,Small Business,63,01-06-23
CUST-00090,Karim Younes,Cairo,Small Business,40,07-06-23
CUST-00724,Sara Fathy,Cairo,Consumer,57,23-08-22
CUST-00339,Mohamed Fahmy,Cairo,Consumer,,26-10-23
CUST-00759,Mostafa Younes,Cairo,Consumer,60,05-08-24
CUST-00674,Mariam Fathy,Cairo,Small Business,56,03-06-22
CUST-00135,Habiba Saad,Cairo,Consumer,40,05-02-24
CUST-00490,Mariam Gouda,Cairo,Corporate,60,03-05-22
CUST-00680,Mohamed Nabil,Cairo,Small Business,56,27-08-24
CUST-00349,Yasmin Khalil,Cairo,Consumer,38,28-08-23
CUST-00725,Farida Farouk,Cairo,Consumer,61,08-03-24
CUST-00205,Omar Farouk,Cairo,Small Business,60,16-06-23
CUST-00792,Omar Sabry,Cairo,Corporate,24,23-10-23
CUST-00173,Youssef Hassan,Cairo,Unknown,54,25-03-22
CUST-00100,Amr Fahmy,Cairo,Corporate,29,02-01-24
CUST-00587,Yasmin Younes,Cairo,Corporate,47,30-07-23
CUST-00755,Ibrahim Kamal,Cairo,Consumer,48,11-02-23
CUST-00288,Amr Ali,Cairo,Consumer,57,21-06-23
CUST-00139,Laila Mahmoud,Cairo,Consumer,20,28-10-22
CUST-00113,Nada Farouk,Cairo,Corporate,57,16-06-22
CUST-00366,Mariam Khalil,Cairo,Unknown,36,06-07-23
CUST-00168,Hassan Nabil,Cairo,Corporate,32,18-06-22
